Production Line,Work Station,Approved Items,Rejected Items,Total Items,Average fixing time,Average supplying time
PL#1, WS#1@PL#1,17,1,18, 0.37023477843871655,0
PL#1, WS#2@PL#1,17,1,18,0,0
PL#1, WS#3@PL#1,17,1,18,0,0
PL#1, WS#4@PL#1,17,1,18,0.001275631,0
PL#1, WS#5@PL#1,17,1,18,0,0
PL#1, WS#6@PL#1,17,1,18,0,0
PL#1, WS#1@PL#1,11,1,12, 0.34588844999410995,0
PL#1, WS#2@PL#1,11,1,12, 0.31402113626216066,0
PL#1, WS#3@PL#1,11,1,12,0,0
PL#1, WS#4@PL#1,11,1,12, 0.32621871813002484,0
PL#1, WS#5@PL#1,11,1,12,0,0
PL#1, WS#6@PL#1,11,1,12,0,0
PL#1, WS#1@PL#1,12,0,12, 0.28077955749867356,0
PL#1, WS#2@PL#1,12,0,12, 0.2368257013399031,0
PL#1, WS#3@PL#1,12,0,12,0.073829472,0
PL#1, WS#4@PL#1,12,0,12, 0.4514290234468632,0
PL#1, WS#5@PL#1,12,0,12, 0.16000098996347134,0
PL#1, WS#6@PL#1,12,0,12,0,0
PL#1, WS#1@PL#1,22,1,23, 0.43773599926619844,0
PL#1, WS#2@PL#1,22,1,23, 0.5078162122393799,0
PL#1, WS#3@PL#1,22,1,23, 0.022430234687448092,0
PL#1, WS#4@PL#1,22,1,23,0.096393906,0
PL#1, WS#5@PL#1,22,1,23, 0.2805496506756455,0
PL#1, WS#6@PL#1,22,1,23, 0.16871761308298971,0
PL#1, WS#1@PL#1,33,1,34, 0.060149637403924316,0
PL#1, WS#2@PL#1,33,1,34, 0.3068775468244169,0
PL#1, WS#3@PL#1,33,1,34, 0.3653232643185369,0
PL#1, WS#4@PL#1,33,1,34,0.434177988,0
PL#1, WS#5@PL#1,33,1,34, 0.5314660907626276,0
PL#1, WS#6@PL#1,33,1,34, 0.20084535991557573,0
PL#1, WS#1@PL#1,33,3,36, 0.3315454427203169,0
PL#1, WS#2@PL#1,33,3,36, 0.5137868591933697,0
PL#1, WS#3@PL#1,33,3,36, 0.18625302018742218,0
PL#1, WS#4@PL#1,33,3,36, 0.5677266952898966,0
PL#1, WS#5@PL#1,33,3,36,0,0
PL#1, WS#6@PL#1,33,3,36,0.631666016,0
PL#1, WS#1@PL#1,62,3,65, 0.45935983589114926,0
PL#1, WS#2@PL#1,62,3,65,0.287968153,0
PL#1, WS#3@PL#1,62,3,65, 0.5310702628110148,0
PL#1, WS#4@PL#1,62,3,65, 0.6182671136331465,0
PL#1, WS#5@PL#1,62,3,65, 0.3596409072433005,0
PL#1, WS#6@PL#1,62,3,65, 0.42720862281131744,0
PL#1, WS#1@PL#1,52,0,52, 0.2561557443819041,0
PL#1, WS#2@PL#1,52,0,52, 0.46662377133952193,0
PL#1, WS#3@PL#1,52,0,52, 0.23857819093640537,0
PL#1, WS#4@PL#1,52,0,52, 0.33373203105922755,0
PL#1, WS#5@PL#1,52,0,52, 0.39438111190550273,0
PL#1, WS#6@PL#1,52,0,52, 0.30922943708734607,0
PL#1, WS#1@PL#1,27,0,27, 0.2716111078229737,0
PL#1, WS#2@PL#1,27,0,27, 0.8904172250232278,0
PL#1, WS#3@PL#1,27,0,27, 0.24483455947728316,0
PL#1, WS#4@PL#1,27,0,27, 0.3997310667030476,0
PL#1, WS#5@PL#1,27,0,27, 0.4387009951833818,0
PL#1, WS#6@PL#1,27,0,27,0,0
PL#1, WS#1@PL#1,6,0,6, 0.1390426976313298,0
PL#1, WS#2@PL#1,6,0,6, 0.8944869703212674,0
PL#1, WS#3@PL#1,6,0,6, 0.35484891654331463,0
PL#1, WS#4@PL#1,6,0,6, 0.054862521231022754,0
PL#1, WS#5@PL#1,6,0,6,0,0
PL#1, WS#6@PL#1,6,0,6,0,0
PL#1, WS#1@PL#1,17,0,17, 0.29039990168208335,0
PL#1, WS#2@PL#1,17,0,17, 0.26792233221443307,0
PL#1, WS#3@PL#1,17,0,17, 0.33954204956085554,0
PL#1, WS#4@PL#1,17,0,17, 0.5139846972451512,0
PL#1, WS#5@PL#1,17,0,17,0.0096547,0
PL#1, WS#6@PL#1,17,0,17, 0.2756600341219908,0
PL#1, WS#1@PL#1,99,3,102, 0.5066200524787815,0
PL#1, WS#2@PL#1,99,3,102, 0.37384671574781075,0
PL#1, WS#3@PL#1,99,3,102, 0.30977891774211486,0
PL#1, WS#4@PL#1,99,3,102, 0.1537472725622177,0
PL#1, WS#5@PL#1,99,3,102, 0.5591966957375986,0
PL#1, WS#6@PL#1,99,3,102, 0.37122273951207063,0
PL#1, WS#1@PL#1,5,0,5,0,0
PL#1, WS#2@PL#1,5,0,5,0,0
PL#1, WS#3@PL#1,5,0,5,0,0
PL#1, WS#4@PL#1,5,0,5,0,0
PL#1, WS#5@PL#1,5,0,5,0,0
PL#1, WS#6@PL#1,5,0,5,0,0
PL#1, WS#1@PL#1,78,7,85, 0.3509389160254544,0
PL#1, WS#2@PL#1,78,7,85, 0.20764998870625923,0
PL#1, WS#3@PL#1,78,7,85, 0.5596049572963783,0
PL#1, WS#4@PL#1,78,7,85, 0.4854634827259616,0
PL#1, WS#5@PL#1,78,7,85, 0.2415242889663162,0
PL#1, WS#6@PL#1,78,7,85, 0.28978310256336687,0
PL#1, WS#1@PL#1,29,1,30,0.069162287,0
PL#1, WS#2@PL#1,29,1,30, 0.28261856640624927,0
PL#1, WS#3@PL#1,29,1,30, 0.22492859469469786,0
PL#1, WS#4@PL#1,29,1,30, 0.5228403304353861,0
PL#1, WS#5@PL#1,29,1,30, 0.4270816962470055,0
PL#1, WS#6@PL#1,29,1,30, 0.33830830861710837,0
PL#1, WS#1@PL#1,2,1,3,0,0
PL#1, WS#2@PL#1,2,1,3,0,0
PL#1, WS#3@PL#1,2,1,3,0,0
PL#1, WS#4@PL#1,2,1,3,0,0
PL#1, WS#5@PL#1,2,1,3,0,0
PL#1, WS#6@PL#1,2,1,3,0,0
PL#1, WS#1@PL#1,19,1,20, 0.2168462343736459,0
PL#1, WS#2@PL#1,19,1,20, 0.3022239923609845,0
PL#1, WS#3@PL#1,19,1,20,0,0
PL#1, WS#4@PL#1,19,1,20,0,0
PL#1, WS#5@PL#1,19,1,20,0,0
PL#1, WS#6@PL#1,19,1,20, 0.48650724723626126,0
PL#1, WS#1@PL#1,22,0,22, 0.9312480022533993,0
PL#1, WS#2@PL#1,22,0,22, 0.12074777623136157,0
PL#1, WS#3@PL#1,22,0,22, 0.4676857531611951,0
PL#1, WS#4@PL#1,22,0,22, 0.2786498341340362,0
PL#1, WS#5@PL#1,22,0,22,0,0
PL#1, WS#6@PL#1,22,0,22,0,0
PL#1, WS#1@PL#1,43,2,45, 0.10041968979748835,0
PL#1, WS#2@PL#1,43,2,45, 0.32396724192164567,0
PL#1, WS#3@PL#1,43,2,45, 0.6023692677103867,0
PL#1, WS#4@PL#1,43,2,45, 0.45476324176454835,0
PL#1, WS#5@PL#1,43,2,45, 0.4101154498132633,0
PL#1, WS#6@PL#1,43,2,45,0.070882196,0
PL#1, WS#1@PL#1,20,1,21, 0.5664096663367317,0
PL#1, WS#2@PL#1,20,1,21, 0.30853640550576245,0
PL#1, WS#3@PL#1,20,1,21,0,0
PL#1, WS#4@PL#1,20,1,21, 0.20102167706298482,0
PL#1, WS#5@PL#1,20,1,21, 0.045908833128720516,0
PL#1, WS#6@PL#1,20,1,21,0.066197756,0
PL#1, WS#1@PL#1,59,3,62, 0.41190013045576856,0
PL#1, WS#2@PL#1,59,3,62, 0.5157641968832323,0
PL#1, WS#3@PL#1,59,3,62, 0.29914715889700977,0
PL#1, WS#4@PL#1,59,3,62, 0.5331103941631739,0
PL#1, WS#5@PL#1,59,3,62, 0.43538287165740386,0
PL#1, WS#6@PL#1,59,3,62, 0.6606307358214139,0
PL#1, WS#1@PL#1,51,1,52, 0.45740444308816847,0
PL#1, WS#2@PL#1,51,1,52, 0.4423382992070799,0
PL#1, WS#3@PL#1,51,1,52, 0.14886928603414637,0
PL#1, WS#4@PL#1,51,1,52, 0.38299266142699934,0
PL#1, WS#5@PL#1,51,1,52, 0.23512680714449985,0
PL#1, WS#6@PL#1,51,1,52, 0.39340616008467083,0
PL#1, WS#1@PL#1,22,0,22, 0.23352734608139278,0
PL#1, WS#2@PL#1,22,0,22,0.084166488,0
PL#1, WS#3@PL#1,22,0,22, 1.1461049639903678,0
PL#1, WS#4@PL#1,22,0,22,0.062324956,0
PL#1, WS#5@PL#1,22,0,22, 0.1906022284242752,0
PL#1, WS#6@PL#1,22,0,22,0.077634881,0
PL#1, WS#1@PL#1,14,2,16, 0.15732070974509801,0
PL#1, WS#2@PL#1,14,2,16, 0.11244600110624248,0
PL#1, WS#3@PL#1,14,2,16, 0.2897435747618857,0
PL#1, WS#4@PL#1,14,2,16, 0.10477787455763021,0
PL#1, WS#5@PL#1,14,2,16, 0.33658037089695014,0
PL#1, WS#6@PL#1,14,2,16, 0.053090345717293985,0
PL#1, WS#1@PL#1,8,0,8, 0.23918254424623342,0
PL#1, WS#2@PL#1,8,0,8, 0.14343300327535147,0
PL#1, WS#3@PL#1,8,0,8,0,0
PL#1, WS#4@PL#1,8,0,8,0.033463613,0
PL#1, WS#5@PL#1,8,0,8,0,0
PL#1, WS#6@PL#1,8,0,8,0,0
PL#1, WS#1@PL#1,33,1,34, 0.9435283641798122,0
PL#1, WS#2@PL#1,33,1,34,0,0
PL#1, WS#3@PL#1,33,1,34, 0.17587088415530636,0
PL#1, WS#4@PL#1,33,1,34, 0.2550733452352375,0
PL#1, WS#5@PL#1,33,1,34, 0.4954834919692672,0
PL#1, WS#6@PL#1,33,1,34,0.093573295,0
PL#1, WS#1@PL#1,2,0,2, 0.4863575920034293,0
PL#1, WS#2@PL#1,2,0,2,0,0
PL#1, WS#3@PL#1,2,0,2,0,0
PL#1, WS#4@PL#1,2,0,2,0,0
PL#1, WS#5@PL#1,2,0,2,0,0
PL#1, WS#6@PL#1,2,0,2,0,0
PL#1, WS#1@PL#1,63,3,66, 0.2597915978527484,0
PL#1, WS#2@PL#1,63,3,66, 0.2587808042228801,0
PL#1, WS#3@PL#1,63,3,66, 0.31254685892684186,0
PL#1, WS#4@PL#1,63,3,66, 0.2761170357151538,0
PL#1, WS#5@PL#1,63,3,66, 0.3533092287429684,0
PL#1, WS#6@PL#1,63,3,66, 0.42787530322848966,0
PL#1, WS#1@PL#1,33,3,36,0.017961971,0
PL#1, WS#2@PL#1,33,3,36, 0.19816113773741506,0
PL#1, WS#3@PL#1,33,3,36,0.066521385,0
PL#1, WS#4@PL#1,33,3,36, 0.31957271664402054,0
PL#1, WS#5@PL#1,33,3,36, 0.25519667373837746,0
PL#1, WS#6@PL#1,33,3,36,0.156058528,0
PL#1, WS#1@PL#1,14,0,14,0,0
PL#1, WS#2@PL#1,14,0,14,0,0
PL#1, WS#3@PL#1,14,0,14,0,0
PL#1, WS#4@PL#1,14,0,14, 0.31282537712979064,0
PL#1, WS#5@PL#1,14,0,14,0,0
PL#1, WS#6@PL#1,14,0,14,0,0
PL#1, WS#1@PL#1,8,0,8,0,0
PL#1, WS#2@PL#1,8,0,8,0,0
PL#1, WS#3@PL#1,8,0,8, 0.24273748933636696,0
